:ID,:LABEL,name
Q21105795,Cellular Component,NLS-dependent protein nuclear import complex
Q21105805,Cellular Component,prespliceosome
Q21106365,Cellular Component,clathrin-coated vesicle membrane
Q21107481,Cellular Component,site of polarized growth
Q21107581,Cellular Component,MSL complex
Q21107900,Cellular Component,laminin-3 complex
Q21108295,Cellular Component,glial cell projection
Q21108530,Cellular Component,microprocessor complex
Q21108654,Cellular Component,SMN-Sm protein complex
Q21108875,Cellular Component,DRM complex
Q21108917,Cellular Component,mitochondrial degradosome
Q21109588,Cellular Component,DNA replication factor A complex
Q21109704,Cellular Component,nuclear pre-replicative complex
Q21109715,Cellular Component,small nuclear ribonucleoprotein complex
Q21110186,Cellular Component,SAGA complex
Q21110470,Cellular Component,mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
Q21110523,Cellular Component,MKS complex
Q21111216,Cellular Component,rod spherule
Q21111251,Cellular Component,RISC-loading complex
Q21111575,Cellular Component,GATOR2 complex
Q21111804,Cellular Component,spermatoproteasome complex
Q21112125,Cellular Component,LUBAC complex
Q21112745,Cellular Component,Tle3-Aes complex
Q21112786,Cellular Component,nuclear exosome (RNase complex)
Q21113308,Cellular Component,endosome to plasma membrane transport vesicle
Q21114509,Cellular Component,epidermal lamellar body
Q21114573,Cellular Component,GABA receptor complex
Q21115739,Cellular Component,RNA polymerase II transcription repressor complex
Q21116335,Cellular Component,cyclin K-CDK13 complex
Q21116795,Cellular Component,ATF1-ATF4 transcription factor complex
Q21116806,Cellular Component,CHOP-ATF4 complex
Q21117578,Cellular Component,vacuolar lumen
Q21118152,Cellular Component,protein farnesyltransferase complex
Q21118196,Cellular Component,isoamylase complex
Q21118392,Cellular Component,axonemal central pair projection
Q21118854,Cellular Component,extrinsic component of mitochondrial outer membrane
Q21119813,Cellular Component,inward rectifier potassium channel complex
Q21120467,Cellular Component,ribonuclease MRP complex
Q21120613,Cellular Component,MHC class Ib protein complex
Q21121479,Cellular Component,ciliary inversin compartment
Q21121730,Cellular Component,UFD1-NPL4 complex
Q21123571,Cellular Component,GARP complex
Q21123938,Cellular Component,nuclear stress granule
Q21125256,Cellular Component,signal recognition particle, endoplasmic reticulum targeting
Q21125486,Cellular Component,TRAPPIII protein complex
Q21126887,Cellular Component,extrinsic component of lysosome membrane
Q21130468,Cellular Component,actin cortical patch
Q21132801,Cellular Component,multi-eIF complex
Q21135214,Cellular Component,pseudopodium membrane
Q21155600,Cellular Component,cytoplasmic side of apical plasma membrane
Q21198640,Cellular Component,small ribosomal subunit
Q21199249,Cellular Component,Gram-negative-bacterium-type cell wall
Q21418859,Cellular Component,laminin complex
Q21469807,Cellular Component,dolichyl-phosphate-mannose-protein mannosyltransferase complex
Q21483482,Cellular Component,U2-type post-spliceosomal complex
Q21484280,Cellular Component,retromer, cargo-selective complex
Q21758669,Cellular Component,type II protein secretion system complex
Q21759948,Cellular Component,NADH dehydrogenase complex
Q21761612,Cellular Component,bacterial-type flagellum hook
Q21762926,Cellular Component,bacterial-type flagellum basal body, distal rod, P ring
Q21763206,Cellular Component,Holliday junction helicase complex
Q21972314,Cellular Component,mitochondrial respirasome
Q21972812,Cellular Component,GINS complex
Q21973270,Cellular Component,multivesicular body lumen
Q21973728,Cellular Component,paranodal junction
Q21978575,Cellular Component,tripartite ATP-independent periplasmic transporter complex
Q22325201,Cellular Component,protein-carbohydrate complex
Q22325230,Cellular Component,cytoplasmic replication fork
Q22325236,Cellular Component,cytoplasmic replisome
Q22325287,Cellular Component,nucleotide-excision repair, preincision complex
Q22325344,Cellular Component,CENP-A containing nucleosome
Q22325439,Cellular Component,protein-DNA-RNA complex
Q22325515,Cellular Component,collagen type XXVII trimer
Q22325595,Cellular Component,protein complex involved in cell-matrix adhesion
Q22325721,Cellular Component,transcription factor TFIIIB-alpha complex
Q22325735,Cellular Component,transcription factor TFIIIC1 complex
Q22325772,Cellular Component,TAF4B-containing transcription factor TFIID complex
Q22325810,Cellular Component,SBF transcription complex
Q22325838,Cellular Component,Pip2-Oaf1 complex
Q22325858,Cellular Component,beta-catenin-ICAT complex
Q22325884,Cellular Component,C/EBP complex
Q22325909,Cellular Component,RNA polymerase I upstream activating factor complex
Q22326059,Cellular Component,Tea1 cell-end complex
Q22326139,Cellular Component,cytosolic proteasome core complex
Q22326144,Cellular Component,nuclear proteasome core complex
Q22326180,Cellular Component,steroid hormone aporeceptor complex
Q22326221,Cellular Component,heterotetrameric ADPG pyrophosphorylase complex
Q22326280,Cellular Component,type V protein secretion system complex
Q22326330,Cellular Component,methyl accepting chemotaxis protein complex
Q22326356,Cellular Component,membrane protein complex
Q22326409,Cellular Component,ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing
Q22326429,Cellular Component,BtuCD complex
Q22326464,Cellular Component,potassium ion-transporting ATPase complex
Q22326537,Cellular Component,type III site-specific deoxyribonuclease complex
Q22326584,Cellular Component,signal peptidase complex
Q22326811,Cellular Component,CLRC complex
