:ID#,:LABEL#,name
Q1829843#Protein Domain#InterPro Domain
Q5009288#Protein Domain#InterPro Domain
Q6718295#Protein Domain#
Q7388668#Protein Domain#InterPro Domain
Q24719548#Protein Domain#InterPro Domain
Q24719555#Protein Domain#InterPro Domain
Q24719558#Protein Domain#InterPro Domain
Q24719568#Protein Domain#InterPro Domain
Q24719679#Protein Domain#InterPro Domain
Q24719693#Protein Domain#InterPro Domain
Q24719784#Protein Domain#InterPro Domain
Q24719821#Protein Domain#InterPro Domain
Q24719854#Protein Domain#InterPro Domain
Q24719860#Protein Domain#InterPro Domain
Q24719863#Protein Domain#InterPro Domain
Q24719867#Protein Domain#InterPro Domain
Q24719870#Protein Domain#InterPro Domain
Q24719892#Protein Domain#InterPro Domain
Q24719948#Protein Domain#InterPro Domain
Q24719952#Protein Domain#InterPro Domain
Q24720014#Protein Domain#InterPro Domain
Q24720072#Protein Domain#InterPro Domain
Q24720136#Protein Domain#InterPro Domain
Q24720155#Protein Domain#InterPro Domain
Q24720200#Protein Domain#InterPro Domain
Q24720215#Protein Domain#InterPro Domain
Q24720229#Protein Domain#protein domain
Q24720264#Protein Domain#InterPro Domain
Q24720271#Protein Domain#InterPro Domain
Q24720425#Protein Domain#InterPro Domain
Q24720443#Protein Domain#InterPro Domain
Q24720504#Protein Domain#InterPro Domain
Q24720521#Protein Domain#InterPro Domain
Q24720528#Protein Domain#InterPro Domain
Q24720550#Protein Domain#InterPro Domain
Q24720580#Protein Domain#InterPro Domain
Q24720603#Protein Domain#InterPro Domain
Q24720652#Protein Domain#InterPro Domain
Q24720670#Protein Domain#InterPro Domain
Q24720688#Protein Domain#InterPro Domain
Q24720700#Protein Domain#InterPro Domain
Q24720728#Protein Domain#InterPro Domain
Q24720787#Protein Domain#InterPro Domain
Q24720905#Protein Domain#InterPro Domain
Q24720932#Protein Domain#InterPro Domain
Q24720953#Protein Domain#InterPro Domain
Q24720988#Protein Domain#InterPro Domain
Q24721068#Protein Domain#InterPro Domain
Q24721086#Protein Domain#InterPro Domain
Q24721123#Protein Domain#InterPro Domain
Q24721187#Protein Domain#InterPro Domain
Q24721234#Protein Domain#InterPro Domain
Q24721236#Protein Domain#InterPro Domain
Q24721248#Protein Domain#InterPro Domain
Q24721314#Protein Domain#InterPro Domain
Q24721355#Protein Domain#InterPro Domain
Q24721398#Protein Domain#InterPro Domain
Q24721451#Protein Domain#protein domain
Q24721465#Protein Domain#InterPro Domain
Q24721480#Protein Domain#InterPro Domain
Q24721506#Protein Domain#InterPro Domain
Q24721520#Protein Domain#InterPro Domain
Q24721578#Protein Domain#InterPro Domain
Q24721583#Protein Domain#InterPro Domain
Q24721630#Protein Domain#InterPro Domain
Q24721676#Protein Domain#InterPro Domain
Q24721682#Protein Domain#InterPro Domain
Q24721711#Protein Domain#InterPro Domain
Q24721728#Protein Domain#InterPro Domain
Q24721736#Protein Domain#InterPro Domain
Q24721782#Protein Domain#InterPro Domain
Q24721793#Protein Domain#InterPro Domain
Q24721807#Protein Domain#InterPro Domain
Q24721825#Protein Domain#InterPro Domain
Q24721836#Protein Domain#InterPro Domain
Q24721837#Protein Domain#InterPro Domain
Q24721852#Protein Domain#InterPro Domain
Q24721865#Protein Domain#InterPro Domain
Q24721901#Protein Domain#InterPro Domain
Q24721957#Protein Domain#InterPro Domain
Q24721979#Protein Domain#InterPro Domain
Q24722050#Protein Domain#InterPro Domain
Q24722072#Protein Domain#InterPro Domain
Q24722090#Protein Domain#InterPro Domain
Q24722093#Protein Domain#InterPro Domain
Q24722101#Protein Domain#InterPro Domain
Q24722139#Protein Domain#InterPro Domain
Q24722152#Protein Domain#InterPro Domain
Q24722214#Protein Domain#InterPro Domain
Q24722244#Protein Domain#InterPro Domain
Q24722272#Protein Domain#InterPro Domain
Q24722377#Protein Domain#InterPro Domain
Q24722420#Protein Domain#InterPro Domain
Q24722431#Protein Domain#protein domain
Q24722496#Protein Domain#InterPro Domain
Q24722511#Protein Domain#InterPro Domain
Q24722525#Protein Domain#InterPro Domain
Q24722659#Protein Domain#InterPro Domain
Q24722698#Protein Domain#InterPro Domain
Q24722711#Protein Domain#InterPro Domain
Q24722737#Protein Domain#InterPro Domain
Q24722748#Protein Domain#InterPro Domain
Q24722761#Protein Domain#InterPro Domain
Q24722780#Protein Domain#InterPro Domain
Q24722881#Protein Domain#InterPro Domain
Q24722902#Protein Domain#InterPro Domain
Q24722947#Protein Domain#InterPro Domain
Q24723004#Protein Domain#InterPro Domain
Q24723014#Protein Domain#InterPro Domain
Q24723028#Protein Domain#InterPro Domain
Q24723035#Protein Domain#InterPro Domain
Q24723069#Protein Domain#InterPro Domain
Q24723096#Protein Domain#InterPro Domain
Q24723097#Protein Domain#InterPro Domain
Q24723101#Protein Domain#InterPro Domain
Q24723127#Protein Domain#InterPro Domain
Q24723138#Protein Domain#InterPro Domain
Q24723150#Protein Domain#InterPro Domain
Q24723170#Protein Domain#InterPro Domain
Q24723221#Protein Domain#InterPro Domain
Q24723255#Protein Domain#InterPro Domain
Q24723257#Protein Domain#InterPro Domain
Q24723270#Protein Domain#InterPro Domain
Q24723278#Protein Domain#InterPro Domain
Q24723295#Protein Domain#InterPro Domain
Q24723300#Protein Domain#InterPro Domain
Q24723315#Protein Domain#InterPro Domain
Q24723343#Protein Domain#InterPro Domain
Q24723384#Protein Domain#InterPro Domain
Q24723504#Protein Domain#InterPro Domain
Q24723521#Protein Domain#InterPro Domain
Q24723536#Protein Domain#InterPro Domain
Q24723551#Protein Domain#InterPro Domain
Q24723612#Protein Domain#InterPro Domain
Q24723695#Protein Domain#InterPro Domain
Q24723723#Protein Domain#InterPro Domain
Q24723741#Protein Domain#InterPro Domain
Q24723769#Protein Domain#InterPro Domain
